사 업 명,사업기간,계약금액,발주처,발주처 업종명,내 역할
스마트공장 구축,2024-06~2024-11,"100,000,000",진영정기,주형 및 금형 제조업,"품질 관리 프로그램 AI 백엔드 개발(PL,PO)
시뮬레이션 툴 생성, 사용자가 패턴에 대해서 입력하면 예측하여 품질 결과를 출력(값, OK/NG)"
스마트공장 구축,2024-07~2024-10,"62,600,000",에스에이치아이엔티,자동차 부품 제조업,"데이터 분석, AI 프로그램 개발(개발 PM 실질적 대응), AMS 납품"
정부일반형 스마트공장 구축사업,2025-04~2026-01,"302,623,000",테이패스 새만금,플라스틱 시트 및 판,"품질 요구사항 확인, 사업계획 AI 부분 작성
CoCTK 납품"
,,,,제조업,
스마트공장 구축,2022-12~2024-06,"394,928,000",이튼인더스트리즈,자동차용 전용 신품,"품질 중요도, FBS, 주요 순위 QMS 백엔드 & 데이터 분석(PO)"
,,,,부품 판매업,
스마트공장 구축,2022-08~2023-11,"400,000,000",다마요팩,오프셋 인쇄업,"품질 예측 시계열 백엔드 개발(PO)
ARIMA와 AI 시계열 엔진을 융복합하여 예측엔진 개발"
스마트공장 구축,2022-08~2024-02,"399,264,000",송월타올수건이야기,그 외 기타 분류 안된,"품질 중요도, FBS, 주요 순위 QMS 백엔드 & 데이터 분석(PO)
품질 관리 - 전력 패턴을 엮어서 주요 관리 순위 & 알림 생성(패턴에 대한 룰)"
,,,,섬유제품 제조업,
스마트공장 구축,2021-12~2023-03,"287,345,000",플라이쿱,자수제품 및 자수용,"품질 관리 프로그램 AI 백엔드 개발(PL,PO)
주요 품질 지표(사운드)와 공정 정보를 연동하여 품질 결과 예측"
,,,,재료 제조업,
스마트공장 구축,2022-01~2023-07,"400,010,000",제이제이툴스,그 외 기타 분류  안된,"품질 중요도, FBS, 주요 순위 QMS 백엔드 & 데이터 분석(PO)"
,,,,금속  가공제품 제조업,
스마트공장 구축,2021-10~2022-02,"62,500,000",에이치피앤씨,화장품 제조업,"품질 관리 프로그램 AI 백엔드 개발(PL,PO)
화장품 배합 비율을 분석하여 최적 분석 시간을 도출(시간대비)"
스마트공장 구축,2021-08~2023-05,"404,000,000",한중엔시에스,자동차 부품 제조업,"품질 관리 프로그램 AI 백엔드 개발(PL,PO)
 - 사출 조건에 따른 품질 예측 엔진 개발 "
스마트공장 구축,2021-08~2023-02,"399,706,000",알티스트,그 외 기타 식료품,"품질 관리 프로그램 AI 백엔드 개발(PL,PO)
 - 데이터 분석 & 식품 조건에 따른 품질 예측 엔진 개발"
,,,,제조업,
스마트공장 구축,2021-08~2023-01,"408,246,000",대성금형,"전기회로 개폐, 보호","품질 관리 프로그램 AI 백엔드 개발(PL,PO)
 - 관리 프로그램 백엔드 개발, 사용자가 조건을 설정하고 예측 확인, 중요도에 따른 모니터링, 각 제품별 품질 OUT 예측"
,,,,장치 제조업,
스마트공장 구축,2021-08~2022-09,"141,600,000",이앤아이비,"플라스틱 선, 봉, 관","품질 중요도, FBS, 주요 순위 QMS 백엔드 & 데이터 분석(PO)"
,,,,및 호스 제조업,
스마트공장 구축,2020-11~2021-11,"798,279,000",에스에이치아이엔티,자동차 부품 제조업,"품질 중요도, FBS, 주요 순위 QMS 백엔드 & 데이터 분석(PO)
 - 품질 예측 엔진개발, 주요 조건별 중요 모니터링 체크 기준 엔진 개발"
스마트공장 구축,2020-10~2021-06,"281,646,000",에이치피엔씨,화장품 제조업,"최적 품질 레시피 생성(PO,PL)
 - 시계열 예측을 통한 품질 이상 징후 탐색엔진 개발"
알미늄 진천/평택 스마트팩토리 확대 구축,2024-7~2024-11,,롯데알루미늄,철강 제조업,"데이터 분석, 최적 품질 레시피 생성(PM), 관리 되는 라인과 안되는 라인을 비교 검증, 최적 패턴과 패턴에 대한 룰 검증"
스마트공장 구축,2024-06~2024-11,-,코맥스,"유선 
통신장비 
제조업",로봇 제어 방법 예측(AI PL)
알미늄 진천/평택 스마트팩토리 확대 구축,2022.3 - 2023.7,,롯데알루미늄,철강 제조업,"품질 중요도, FBS, 주요 순위 QMS 백엔드 & 데이터 분석(PO)"
